rep_id,rep_name,territory,region,manager,tenure_months,total_calls,unique_hcps_reached,products_discussed,total_samples_given,average_call_duration,quarters_measured,total_quota_units,total_actual_units,total_incentive_payout,weighted_attainment_pct,actual_units_per_call,calls_per_hcp,attainment_rank,efficiency_rank,performance_status
R005,Rep_005,Central-1,Central,Vikram Singh,106,283,45,5,1175,20.18,4,5607,5140,283862,91.67,18.16,6.29,33,40,Near Target
R035,Rep_035,West-2,West,Rajesh Kumar,98,150,54,5,566,20.88,4,5090,4637,280614,91.1,30.91,2.78,34,10,Near Target
R018,Rep_018,South-2,South,Anil Mehta,53,253,47,5,1025,19.62,4,6567,5943,273195,90.5,23.49,5.38,35,24,Near Target
R025,Rep_025,South-1,South,Anil Mehta,64,209,44,5,830,20.56,4,6699,6009,265406,89.7,28.75,4.75,36,16,Below Target
R042,Rep_042,North-2,North,Rajesh Kumar,40,166,55,5,687,20.95,4,5823,5202,271611,89.34,31.34,3.02,37,9,Below Target
R003,Rep_003,North-2,North,Vikram Singh,35,288,56,5,1142,20.73,4,5245,4640,265953,88.47,16.11,5.14,38,45,Below Target
R038,Rep_038,East-2,East,Priya Sharma,102,302,52,5,1255,20.13,4,4751,4202,262133,88.44,13.91,5.81,39,50,Below Target
R021,Rep_021,South-2,South,Anil Mehta,61,323,47,5,1270,20.5,4,7025,6198,263457,88.23,19.19,6.87,40,37,Below Target
R004,Rep_004,North-1,North,Rajesh Kumar,62,218,34,5,783,20.09,4,5748,5039,268529,87.67,23.11,6.41,41,25,Below Target
R017,Rep_017,East-2,East,Priya Sharma,78,233,52,5,955,20.59,4,6845,6000,258445,87.66,25.75,4.48,42,21,Below Target
R012,Rep_012,West-2,West,Vikram Singh,81,245,57,5,956,20.74,4,6464,5519,260314,85.38,22.53,4.3,43,26,Below Target
R034,Rep_034,North-2,North,Anil Mehta,52,261,56,5,1018,20.08,4,6130,5219,261767,85.14,20.0,4.66,44,31,Below Target
R031,Rep_031,West-1,West,Sneha Patel,93,307,54,5,1252,19.68,4,6013,5066,246102,84.25,16.5,5.69,45,44,Below Target
R013,Rep_013,North-2,North,Vikram Singh,79,250,54,5,1012,20.13,4,5858,4929,256442,84.14,19.72,4.63,46,35,Below Target
R045,Rep_045,Central-2,Central,Sneha Patel,103,129,42,5,517,20.6,4,6669,5502,247769,82.5,42.65,3.07,47,1,Below Target
R015,Rep_015,South-2,South,Anil Mehta,62,249,48,5,947,19.29,4,5920,4422,230357,74.7,17.76,5.19,48,41,Below Target
R049,Rep_049,North-1,North,Vikram Singh,61,223,34,5,874,20.46,4,6673,4907,222550,73.54,22.0,6.56,49,27,Below Target
R002,Rep_002,South-2,South,Priya Sharma,104,245,48,5,1041,19.67,4,5387,3722,201567,69.09,15.19,5.1,50,47,Below Target
