hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct,cluster_id,hcp_segment,segment_strategy,prescription_momentum,efficiency_for_scoring,value_score,momentum_score,low_call_score,recency_gap_score,undercoverage_score,efficiency_score,breadth_score,opportunity_score,segment_priority_rank,segment_score_percentile,priority_tier,recommended_action
H0011,Dr. HCP_0011,Cardiologist,A,East-2,East,57,2411,5.7,10,5,8,30,22.0,5,2026-03-05,7.13,26,0,880,364,141.76,2,Efficient High-Value,Prioritize selective engagement and expansion,0.8811602723536884,7.13,0.508,0.964,0.787,0.735,0.761,0.885,0.638,73.2,7,0.9259259259259259,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0012,Dr. HCP_0012,Endocrinologist,C,South-2,South,135,5192,13.5,10,5,78,277,19.76,5,2026-03-30,1.73,1,0,1521,1544,-1.49,0,Established High-Value,Maintain engagement and protect existing value,-0.014998650910214018,1.73,0.838,0.448,0.008000000000000007,0.092,0.05,0.206,0.638,44.82,119,0.25766871165644173,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0013,Dr. HCP_0013,Oncologist,C,South-1,South,44,1712,4.4,10,5,36,132,19.58,5,2026-03-26,1.22,5,0,462,365,26.58,1,Emerging Growth,Nurture growth through targeted follow-ups,0.23509372068486822,1.22,0.37,0.708,0.22499999999999998,0.311,0.268,0.075,0.638,39.47,144,0.26,Low Priority,Monitor growth before increasing field engagement
H0014,Dr. HCP_0014,Oncologist,B,East-1,East,10,469,1.0,7,2,0,0,0.0,0,,,304,1,114,203,-43.84,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-0.5731878654809659,3.45,0.112,0.082,0.943,0.945,0.944,0.501,0.092,37.04,23,0.3392857142857143,Low Priority,Deprioritize until meaningful prescription activity appears
H0015,Dr. HCP_0015,Oncologist,A,North-2,North,135,5524,13.5,10,5,25,89,21.52,5,2026-03-31,5.4,0,0,1307,1837,-28.85,0,Established High-Value,Maintain engagement and protect existing value,-0.340178770898488,5.4,0.868,0.188,0.364,0.029,0.1965,0.813,0.638,53.29,70,0.5705521472392638,Medium Priority,Continue the current engagement cadence
H0016,Dr. HCP_0016,General Physician,A,North-1,North,119,5083,11.9,10,5,10,41,19.1,4,2026-03-19,11.9,12,0,2023,959,110.95,2,Efficient High-Value,Prioritize selective engagement and expansion,0.7458977459454745,11.9,0.828,0.95,0.74,0.532,0.636,0.986,0.638,80.91,1,1.0,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0017,Dr. HCP_0017,Endocrinologist,B,North-2,North,138,5145,13.8,10,5,43,185,19.88,5,2026-03-17,3.21,14,0,1529,1615,-5.33,0,Established High-Value,Maintain engagement and protect existing value,-0.05468622469455919,3.21,0.836,0.422,0.14300000000000002,0.582,0.3625,0.398,0.638,54.93,63,0.6134969325153374,Medium Priority,Continue the current engagement cadence
H0018,Dr. HCP_0018,Oncologist,B,West-1,West,33,1388,3.3,9,5,12,46,20.08,5,2026-02-24,2.75,35,0,401,615,-34.8,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.4267948749144983,2.75,0.298,0.146,0.69,0.785,0.7375,0.327,0.638,41.58,130,0.33,Low Priority,Monitor growth before increasing field engagement
H0019,Dr. HCP_0019,Oncologist,B,South-2,South,128,4725,12.8,10,5,41,181,21.37,5,2026-03-26,3.12,5,0,1665,1153,44.41,0,Established High-Value,Maintain engagement and protect existing value,0.3671913756587424,3.12,0.798,0.82,0.16400000000000003,0.311,0.23750000000000002,0.374,0.638,58.27,41,0.754601226993865,Medium Priority,Continue the current engagement cadence
H0020,Dr. HCP_0020,Oncologist,B,South-1,South,70,2860,7.0,10,5,24,74,17.79,5,2026-03-26,2.92,5,0,1000,1066,-6.19,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.06385147198653307,2.92,0.604,0.41,0.38,0.311,0.34550000000000003,0.355,0.638,46.66,94,0.515,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0021,Dr. HCP_0021,Pulmonologist,B,West-1,West,47,1759,4.7,10,5,13,52,16.0,4,2026-03-13,3.62,18,0,601,521,15.36,1,Emerging Growth,Nurture growth through targeted follow-ups,0.1425898574261817,3.62,0.38,0.64,0.655,0.637,0.646,0.588,0.638,55.55,34,0.83,High Priority,Prioritize targeted follow-ups to support continued growth
H0022,Dr. HCP_0022,Oncologist,A,East-1,East,7,234,0.7,5,2,0,0,0.0,0,,,304,1,102,60,70.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.5238551240563245,3.45,0.08,0.89,0.943,0.945,0.944,0.501,0.092,52.24,11,0.8214285714285714,High Priority,Validate prescribing potential and consider initiating outreach
H0023,Dr. HCP_0023,Endocrinologist,B,South-1,South,123,4723,12.3,10,5,35,144,20.29,5,2026-03-19,3.51,12,0,1010,1623,-37.77,0,Established High-Value,Maintain engagement and protect existing value,-0.47395230170115177,3.51,0.796,0.118,0.23399999999999999,0.532,0.383,0.568,0.638,50.72,89,0.44171779141104295,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0024,Dr. HCP_0024,Cardiologist,B,South-2,South,323,11844,32.3,10,5,62,267,18.87,5,2026-03-31,5.21,0,0,3749,3047,23.04,0,Established High-Value,Maintain engagement and protect existing value,0.20727020215792002,5.21,0.996,0.692,0.040000000000000036,0.029,0.03450000000000002,0.8,0.638,62.96,25,0.852760736196319,High Priority,Protect existing value and maintain consistent engagement
H0025,Dr. HCP_0025,Cardiologist,B,East-2,East,47,1807,4.7,10,4,12,45,17.67,4,2026-03-16,3.92,15,0,364,667,-45.43,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.6043908199541539,3.92,0.384,0.078,0.69,0.597,0.6435,0.647,0.213,41.0,135,0.305,Low Priority,Monitor growth before increasing field engagement
H0026,Dr. HCP_0026,Oncologist,C,Central-2,Central,35,1504,3.5,10,5,19,61,19.89,5,2026-03-29,1.84,2,0,641,377,70.03,1,Emerging Growth,Nurture growth through targeted follow-ups,0.5296941080703732,1.84,0.326,0.892,0.46499999999999997,0.158,0.3115,0.234,0.638,45.3,104,0.46,Low Priority,Monitor growth before increasing field engagement
H0027,Dr. HCP_0027,Neurologist,A,North-1,North,193,8831,19.3,10,5,24,101,20.17,5,2026-03-27,8.04,4,0,2623,2249,16.63,2,Efficient High-Value,Prioritize selective engagement and expansion,0.15376965486551342,8.04,0.982,0.648,0.38,0.262,0.321,0.918,0.638,70.6,17,0.8024691358024691,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0028,Dr. HCP_0028,Cardiologist,B,South-1,South,94,3695,9.4,10,5,25,102,18.4,5,2026-03-23,3.76,8,0,1065,1107,-3.79,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.038643262581439686,3.76,0.712,0.432,0.364,0.431,0.39749999999999996,0.615,0.638,55.54,35,0.825,High Priority,Prioritize targeted follow-ups to support continued growth
H0029,Dr. HCP_0029,Oncologist,B,South-2,South,191,7315,19.1,10,5,50,217,19.5,5,2026-03-18,3.82,13,0,1955,2655,-26.37,0,Established High-Value,Maintain engagement and protect existing value,-0.3059196600015621,3.82,0.946,0.216,0.09399999999999997,0.561,0.3275,0.626,0.638,56.66,57,0.656441717791411,Medium Priority,Continue the current engagement cadence
H0030,Dr. HCP_0030,Endocrinologist,A,Central-2,Central,28,1157,2.8,10,5,5,28,11.8,4,2026-01-01,5.6,89,0,541,190,184.74,1,Emerging Growth,Nurture growth through targeted follow-ups,1.0429925733930165,5.6,0.25,0.98,0.846,0.866,0.856,0.822,0.638,67.21,4,0.985,High Priority,Prioritize targeted follow-ups to support continued growth
H0031,Dr. HCP_0031,Cardiologist,B,Central-2,Central,33,1409,3.3,10,3,11,62,19.45,4,2026-01-22,3.0,68,0,492,380,29.47,1,Emerging Growth,Nurture growth through targeted follow-ups,0.25770979891598866,3.0,0.308,0.734,0.716,0.857,0.7865,0.362,0.13,50.31,70,0.645,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0032,Dr. HCP_0032,Neurologist,A,Central-2,Central,54,2163,5.4,10,4,4,14,25.75,2,2026-01-21,13.5,69,0,855,465,83.87,2,Efficient High-Value,Prioritize selective engagement and expansion,0.6080847420160964,13.5,0.472,0.912,0.859,0.86,0.8594999999999999,0.993,0.213,70.91,13,0.8518518518518519,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0033,Dr. HCP_0033,Endocrinologist,A,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0034,Dr. HCP_0034,Pulmonologist,C,South-2,South,105,4356,10.5,10,5,66,288,19.29,5,2026-03-25,1.59,6,0,1153,1276,-9.64,0,Established High-Value,Maintain engagement and protect existing value,-0.10127940896449417,1.59,0.772,0.372,0.027000000000000024,0.356,0.1915,0.162,0.638,44.2,124,0.22699386503067484,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0035,Dr. HCP_0035,General Physician,C,South-1,South,63,2473,6.3,10,5,39,165,21.46,5,2026-03-25,1.62,6,0,867,640,35.47,0,Established High-Value,Maintain engagement and protect existing value,0.30316225773968064,1.62,0.532,0.776,0.18999999999999995,0.356,0.27299999999999996,0.171,0.638,47.25,107,0.3312883435582822,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0036,Dr. HCP_0036,Pulmonologist,C,West-2,West,29,1220,2.9,10,5,17,52,23.88,5,2026-03-29,1.71,2,0,267,484,-44.83,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.5931619104266268,1.71,0.258,0.08,0.522,0.158,0.34,0.201,0.638,27.24,183,0.065,Low Priority,Monitor growth before increasing field engagement
H0037,Dr. HCP_0037,Oncologist,B,North-1,North,148,6361,14.8,10,5,36,148,20.39,5,2026-03-30,4.11,1,0,1613,2160,-25.32,0,Established High-Value,Maintain engagement and protect existing value,-0.2918555076769911,4.11,0.922,0.224,0.22499999999999998,0.092,0.15849999999999997,0.687,0.638,52.79,76,0.5337423312883436,Medium Priority,Continue the current engagement cadence
H0038,Dr. HCP_0038,Neurologist,A,North-2,North,143,5904,14.3,10,5,14,63,18.07,5,2026-03-24,10.21,7,0,1419,2078,-31.71,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.3812301372627065,10.21,0.896,0.16,0.615,0.399,0.507,0.97,0.638,63.68,41,0.5061728395061729,Medium Priority,Review for incremental engagement without excessive call frequency
H0039,Dr. HCP_0039,Pulmonologist,B,Central-1,Central,130,5017,13.0,10,5,33,137,18.06,5,2026-02-14,3.94,45,0,1597,1792,-10.88,0,Established High-Value,Maintain engagement and protect existing value,-0.115137347278913,3.94,0.82,0.354,0.255,0.815,0.5349999999999999,0.656,0.638,61.27,32,0.8098159509202454,High Priority,Protect existing value and maintain consistent engagement
H0040,Dr. HCP_0040,Cardiologist,B,East-2,East,37,1367,3.7,10,5,9,40,19.56,4,2026-03-19,4.11,12,0,420,389,7.97,1,Emerging Growth,Nurture growth through targeted follow-ups,0.07648609455868893,4.11,0.292,0.578,0.762,0.532,0.647,0.687,0.638,53.18,49,0.755,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0041,Dr. HCP_0041,Pulmonologist,A,East-2,East,76,3311,7.6,10,5,10,41,20.6,5,2026-01-06,7.6,84,0,898,1224,-26.63,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.30941308850720706,7.6,0.667,0.214,0.74,0.864,0.802,0.896,0.638,64.16,39,0.5308641975308642,Medium Priority,Review for incremental engagement without excessive call frequency
H0042,Dr. HCP_0042,Neurologist,B,West-2,West,49,2118,4.9,10,5,15,43,25.13,5,2026-03-30,3.27,1,0,856,389,120.05,1,Emerging Growth,Nurture growth through targeted follow-ups,0.7872911794740878,3.27,0.464,0.958,0.577,0.092,0.33449999999999996,0.409,0.638,53.96,43,0.785,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0043,Dr. HCP_0043,General Physician,A,Central-2,Central,86,3352,8.6,10,5,15,56,18.67,5,2026-03-29,5.73,2,0,1070,1235,-13.36,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.14328756756988703,5.73,0.674,0.33,0.577,0.158,0.3675,0.834,0.638,54.9,66,0.1728395061728395,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0044,Dr. HCP_0044,Pulmonologist,C,Central-1,Central,52,2003,5.2,10,5,41,171,22.1,5,2026-03-30,1.27,1,0,854,583,46.48,0,Established High-Value,Maintain engagement and protect existing value,0.38120048610853274,1.27,0.43,0.828,0.16400000000000003,0.092,0.128,0.093,0.638,40.44,137,0.147239263803681,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0045,Dr. HCP_0045,Pulmonologist,B,South-1,South,109,4119,10.9,10,5,28,106,19.04,5,2026-03-19,3.89,12,0,968,1369,-29.29,0,Established High-Value,Maintain engagement and protect existing value,-0.34630140693140454,3.89,0.75,0.18,0.32599999999999996,0.532,0.429,0.643,0.638,52.85,73,0.5521472392638037,Medium Priority,Continue the current engagement cadence
H0046,Dr. HCP_0046,General Physician,B,North-2,North,202,8681,20.2,10,5,42,186,23.31,5,2026-03-29,4.81,2,0,2177,2478,-12.15,0,Established High-Value,Maintain engagement and protect existing value,-0.12944822854228466,4.81,0.98,0.336,0.15300000000000002,0.158,0.15550000000000003,0.762,0.638,57.82,45,0.7300613496932515,Medium Priority,Continue the current engagement cadence
H0047,Dr. HCP_0047,Pulmonologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0048,Dr. HCP_0048,Endocrinologist,B,East-2,East,33,1351,3.3,10,4,8,41,21.63,4,2025-12-03,4.13,118,0,502,475,5.68,1,Emerging Growth,Nurture growth through targeted follow-ups,0.05517231586831883,4.13,0.287,0.556,0.787,0.882,0.8345,0.692,0.213,53.1,50,0.75,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0049,Dr. HCP_0049,Oncologist,B,Central-1,Central,156,6114,15.6,10,5,35,142,19.34,5,2026-03-26,4.46,5,0,1435,1776,-19.2,0,Established High-Value,Maintain engagement and protect existing value,-0.2130650785464816,4.46,0.908,0.28,0.23399999999999999,0.311,0.27249999999999996,0.726,0.638,56.92,54,0.6748466257668712,Medium Priority,Continue the current engagement cadence
H0050,Dr. HCP_0050,Cardiologist,A,North-1,North,125,4853,12.5,10,5,21,83,18.38,5,2026-03-04,5.95,27,0,910,1336,-31.89,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.38364067984198513,5.95,0.808,0.158,0.43400000000000005,0.746,0.5900000000000001,0.844,0.638,61.19,49,0.4074074074074074,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0051,Dr. HCP_0051,Cardiologist,C,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0052,Dr. HCP_0052,Endocrinologist,C,East-2,East,26,1030,2.6,7,5,16,54,22.19,5,2026-03-27,1.63,4,0,179,531,-66.29,1,Emerging Growth,Nurture growth through targeted follow-ups,-1.083686638451434,1.63,0.216,0.038,0.5489999999999999,0.262,0.40549999999999997,0.174,0.638,26.37,186,0.05,Low Priority,Monitor growth before increasing field engagement
H0053,Dr. HCP_0053,General Physician,C,South-1,South,45,1769,4.5,10,5,32,148,19.44,5,2026-03-07,1.41,24,0,595,548,8.58,1,Emerging Growth,Nurture growth through targeted follow-ups,0.08214222555581951,1.41,0.382,0.584,0.269,0.716,0.4925,0.13,0.638,43.78,116,0.4,Low Priority,Monitor growth before increasing field engagement
H0054,Dr. HCP_0054,General Physician,C,Central-1,Central,68,2758,6.8,10,5,44,178,20.02,5,2026-03-21,1.55,10,0,1169,557,109.87,0,Established High-Value,Maintain engagement and protect existing value,0.7404000654104914,1.55,0.586,0.948,0.133,0.475,0.304,0.153,0.638,52.81,75,0.5398773006134969,Medium Priority,Continue the current engagement cadence
H0055,Dr. HCP_0055,Cardiologist,B,Central-1,Central,181,6670,18.1,10,5,44,182,21.27,5,2026-03-29,4.11,2,0,1816,2305,-21.21,0,Established High-Value,Maintain engagement and protect existing value,-0.23832763243283317,4.11,0.93,0.25,0.133,0.158,0.14550000000000002,0.687,0.638,53.22,71,0.5644171779141104,Medium Priority,Continue the current engagement cadence
H0056,Dr. HCP_0056,General Physician,C,North-2,North,73,2972,7.3,10,5,67,276,20.09,5,2026-03-28,1.09,3,0,1135,715,58.74,0,Established High-Value,Maintain engagement and protect existing value,0.4615884323204513,1.09,0.612,0.864,0.02400000000000002,0.212,0.11800000000000001,0.046,0.638,45.66,117,0.26993865030674846,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0057,Dr. HCP_0057,Cardiologist,A,Central-1,Central,107,4666,10.7,10,5,14,49,20.93,5,2026-03-27,7.64,4,0,1337,1539,-13.13,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.14060645471950117,7.64,0.79,0.332,0.615,0.262,0.4385,0.898,0.638,61.15,50,0.3950617283950617,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0058,Dr. HCP_0058,Neurologist,A,Central-2,Central,41,1530,4.1,10,4,8,26,20.88,4,2026-03-31,5.13,0,0,553,436,26.83,1,Emerging Growth,Nurture growth through targeted follow-ups,0.237231491651694,5.13,0.332,0.712,0.787,0.029,0.40800000000000003,0.791,0.213,48.4,84,0.57,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0059,Dr. HCP_0059,Endocrinologist,A,West-1,West,128,5025,12.8,10,4,13,40,22.0,4,2026-02-02,9.85,57,0,1595,1707,-6.56,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.06782259633876109,9.85,0.822,0.406,0.655,0.831,0.743,0.966,0.213,67.98,26,0.691358024691358,Medium Priority,Review for incremental engagement without excessive call frequency
H0060,Dr. HCP_0060,Pulmonologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0061,Dr. HCP_0061,Endocrinologist,B,East-2,East,42,1646,4.2,10,5,10,31,15.7,5,2026-03-25,4.2,6,0,413,460,-10.22,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.1075320691713344,4.2,0.358,0.366,0.74,0.356,0.548,0.704,0.638,48.7,81,0.585,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0062,Dr. HCP_0062,Pulmonologist,B,North-2,North,116,4251,11.6,10,5,42,206,21.52,5,2026-03-28,2.76,3,0,1786,871,105.05,0,Established High-Value,Maintain engagement and protect existing value,0.717504091250448,2.76,0.762,0.946,0.15300000000000002,0.212,0.1825,0.33,0.638,57.67,46,0.7239263803680982,Medium Priority,Continue the current engagement cadence
H0063,Dr. HCP_0063,General Physician,C,Central-2,Central,13,564,1.3,8,3,14,61,23.07,5,2026-03-18,0.93,13,0,287,93,208.6,1,Emerging Growth,Nurture growth through targeted follow-ups,1.1196656978659423,0.93,0.118,0.982,0.615,0.561,0.5880000000000001,0.016,0.13,39.42,145,0.255,Low Priority,Monitor growth before increasing field engagement
H0064,Dr. HCP_0064,Endocrinologist,B,South-2,South,193,7903,19.3,10,5,53,191,19.66,5,2026-03-18,3.64,13,0,2274,2693,-15.56,0,Established High-Value,Maintain engagement and protect existing value,-0.1690470255852583,3.64,0.958,0.314,0.07799999999999996,0.561,0.3195,0.59,0.638,58.24,42,0.7484662576687117,Medium Priority,Continue the current engagement cadence
H0065,Dr. HCP_0065,Cardiologist,B,West-1,West,50,1933,5.0,10,4,13,40,18.92,4,2026-03-09,3.85,22,0,368,490,-24.9,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.2856474837539933,3.85,0.418,0.226,0.655,0.682,0.6685000000000001,0.633,0.213,45.4,102,0.47,Low Priority,Monitor growth before increasing field engagement
H0066,Dr. HCP_0066,Oncologist,B,East-2,East,61,2425,6.1,10,4,13,53,20.0,5,2026-03-25,4.69,6,0,792,546,45.05,1,Emerging Growth,Nurture growth through targeted follow-ups,0.3713744192128665,4.69,0.516,0.822,0.655,0.356,0.5055000000000001,0.748,0.213,57.91,28,0.86,High Priority,Prioritize targeted follow-ups to support continued growth
H0067,Dr. HCP_0067,Endocrinologist,A,East-1,East,3,94,0.3,3,1,0,0,0.0,0,,,304,1,23,71,-67.61,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-1.0986122886681096,3.45,0.054,0.036,0.943,0.945,0.944,0.501,0.054,33.99,33,0.16071428571428573,Low Priority,Deprioritize until meaningful prescription activity appears
H0068,Dr. HCP_0068,Cardiologist,C,West-1,West,16,583,1.6,9,5,14,59,22.64,5,2026-03-23,1.14,8,0,178,98,81.63,1,Emerging Growth,Nurture growth through targeted follow-ups,0.5922659557061651,1.14,0.122,0.906,0.615,0.431,0.523,0.056,0.638,42.08,127,0.345,Low Priority,Monitor growth before increasing field engagement
H0069,Dr. HCP_0069,Endocrinologist,A,South-2,South,224,9832,22.4,10,5,23,114,21.74,5,2026-03-31,9.74,0,0,2322,3941,-41.08,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.5288287549422561,9.74,0.992,0.098,0.396,0.029,0.21250000000000002,0.962,0.638,57.84,60,0.24691358024691357,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0070,Dr. HCP_0070,Pulmonologist,C,East-2,East,35,1265,3.5,9,5,21,74,21.0,5,2026-03-18,1.67,13,0,495,371,33.42,1,Emerging Growth,Nurture growth through targeted follow-ups,0.2876820724517817,1.67,0.27,0.76,0.43400000000000005,0.561,0.49750000000000005,0.187,0.638,44.92,106,0.45,Low Priority,Monitor growth before increasing field engagement
H0071,Dr. HCP_0071,Cardiologist,C,South-2,South,78,2951,7.8,10,5,71,274,20.0,5,2026-03-27,1.1,4,0,735,862,-14.73,0,Established High-Value,Maintain engagement and protect existing value,-0.15918457235455108,1.1,0.61,0.32,0.02200000000000002,0.262,0.14200000000000002,0.049,0.638,35.36,151,0.05828220858895705,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0072,Dr. HCP_0072,Pulmonologist,A,West-1,West,68,2613,6.8,10,5,8,32,24.0,4,2025-12-31,8.5,90,0,658,918,-28.32,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.3325625878531797,8.5,0.562,0.194,0.787,0.868,0.8275,0.929,0.638,61.74,47,0.43209876543209874,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0073,Dr. HCP_0073,Pulmonologist,A,North-2,North,50,2093,5.0,10,5,13,72,19.69,5,2026-03-23,3.85,8,0,492,738,-33.33,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.4047887469055116,3.85,0.452,0.15,0.655,0.431,0.543,0.633,0.638,46.01,98,0.4925,Low Priority,Monitor growth before increasing field engagement
